"order_id","product_id","transaction_entry_count"
"ORD000370","P004",4
"ORD000980","P001",4
"ORD000237","P001",4
"ORD000072","P006",4
"ORD000645","P006",4
"ORD000629","P005",4
"ORD000939","P002",4
"ORD000036","P007",4
"ORD000522","P006",4
"ORD000293","P007",4
"ORD000855","P007",4
"ORD000192","P006",4
"ORD000778","P004",4
"ORD000829","P002",4
"ORD000718","P001",4
"ORD000808","P006",4
"ORD000937","P004",4
"ORD000311","P006",3
"ORD000697","P007",3
"ORD000723","P003",3
"ORD000337","P002",3
"ORD000815","P006",3
"ORD000717","P004",3
"ORD000702","P005",3
"ORD000694","P005",3
"ORD000019","P001",3
"ORD000275","P003",3
"ORD000533","P007",3
"ORD000465","P001",3
"ORD000642","P003",3
"ORD000292","P007",3
"ORD000692","P006",3
"ORD000092","P007",3
"ORD000333","P005",3
"ORD000757","P002",3
"ORD000187","P004",3
"ORD000374","P007",3
"ORD000254","P004",3
"ORD000161","P006",3
"ORD000647","P001",3
"ORD000223","P003",3
"ORD000180","P003",3
"ORD000823","P005",3
"ORD000345","P005",3
"ORD000279","P006",3
"ORD000437","P003",3
"ORD000818","P001",3
"ORD000484","P005",3
"ORD000418","P007",3
"ORD000582","P005",3
"ORD000094","P007",3
"ORD000638","P004",3
"ORD000667","P005",3
"ORD000812","P005",3
"ORD000536","P001",3
"ORD000552","P002",3
"ORD000214","P005",3
"ORD000189","P006",3
"ORD000517","P002",3
"ORD000733","P002",3
"ORD000469","P005",3
"ORD000203","P004",3
"ORD000892","P001",3
"ORD000953","P002",3
"ORD000633","P005",3
"ORD000873","P005",3
"ORD000222","P007",3
"ORD000178","P005",3
"ORD000422","P003",3
"ORD000041","P006",3
"ORD000060","P005",3
"ORD000324","P001",3
"ORD000994","P003",3
"ORD000440","P007",3
"ORD000367","P005",3
"ORD000185","P006",3
"ORD000625","P006",3
"ORD000414","P005",3
"ORD000662","P002",3
"ORD000496","P006",3
"ORD000235","P005",2
"ORD000744","P001",2
"ORD000565","P007",2
"ORD000164","P001",2
"ORD000025","P006",2
"ORD000401","P001",2
"ORD000711","P006",2
"ORD000217","P003",2
"ORD000699","P006",2
"ORD000100","P005",2
"ORD000030","P006",2
"ORD000532","P007",2
"ORD000620","P003",2
"ORD000099","P004",2
"ORD000499","P004",2
"ORD000396","P002",2
"ORD000184","P005",2
"ORD000104","P004",2
"ORD000891","P003",2
"ORD000342","P005",2
"ORD000542","P004",2
"ORD000007","P005",2
"ORD000737","P006",2
"ORD000304","P001",2
"ORD000544","P007",2
"ORD000177","P002",2
"ORD000260","P003",2
"ORD000568","P005",2
"ORD000828","P003",2
"ORD000423","P003",2
"ORD000527","P006",2
