customer_id,customer_name,segment,city
C0001,Client_Partner_0001,Home Office,Hyderabad
C0002,Client_Partner_0002,Consumer,Mumbai
C0003,Client_Partner_0003,Corporate,Mumbai
C0004,Client_Partner_0004,Consumer,
C0005,Client_Partner_0005,Consumer,Mumbai
C0006,Client_Partner_0006,Corporate,Mumbai
C0007,Client_Partner_0007,Home Office,Mumbai
C0008,Client_Partner_0008,Home Office,Delhi
C0009,Client_Partner_0009,Corporate,Hyderabad
C0010,Client_Partner_0010,Consumer,Delhi
C0011,Client_Partner_0011,Home Office,Kolkata
C0012,Client_Partner_0012,Home Office,Bengaluru
C0013,Client_Partner_0013,Home Office,Chennai
C0014,Client_Partner_0014,Consumer,Hyderabad
C0015,Client_Partner_0015,Corporate,Delhi
C0016,Client_Partner_0016,Consumer,Hyderabad
C0017,Client_Partner_0017,Corporate,Mumbai
C0018,Client_Partner_0018,Corporate,Mumbai
C0019,Client_Partner_0019,Home Office,Delhi
C0020,Client_Partner_0020,Corporate,Kolkata
C0021,Client_Partner_0021,Home Office,Mumbai
C0022,Client_Partner_0022,Corporate,Hyderabad
C0023,Client_Partner_0023,Home Office,Hyderabad
C0024,Client_Partner_0024,Consumer,Hyderabad
C0025,Client_Partner_0025,Corporate,
C0026,Client_Partner_0026,Home Office,Chennai
C0027,Client_Partner_0027,Consumer,Kolkata
C0028,Client_Partner_0028,Home Office,Kolkata
C0029,Client_Partner_0029,Corporate,Kolkata
C0030,Client_Partner_0030,Corporate,Chennai
C0031,Client_Partner_0031,Corporate,Bengaluru
C0032,Client_Partner_0032,Consumer,Kolkata
C0033,Client_Partner_0033,Consumer,Delhi
C0034,Client_Partner_0034,Consumer,Kolkata
C0035,Client_Partner_0035,Corporate,Hyderabad
C0036,Client_Partner_0036,Corporate,Delhi
C0037,Client_Partner_0037,Consumer,BLR
C0038,Client_Partner_0038,Consumer,Chennai
C0039,Client_Partner_0039,Home Office,
C0040,Client_Partner_0040,Consumer,Bengaluru
C0041,Client_Partner_0041,Home Office,Kolkata
C0042,Client_Partner_0042,Corporate,Chennai
C0043,Client_Partner_0043,Corporate,Kolkata
C0044,Client_Partner_0044,Consumer,Kolkata
C0045,Client_Partner_0045,Home Office,Hyderabad
C0046,Client_Partner_0046,Corporate,Hyderabad
C0047,Client_Partner_0047,Corporate,Delhi
C0048,Client_Partner_0048,Home Office,Chennai
C0049,Client_Partner_0049,Home Office,Chennai
C0050,Client_Partner_0050,Corporate,Hyderabad
C0051,Client_Partner_0051,Consumer,Hyderabad
C0052,Client_Partner_0052,Corporate,Delhi
C0053,Client_Partner_0053,Home Office,Kolkata
C0054,Client_Partner_0054,Home Office,Bengaluru
C0055,Client_Partner_0055,Corporate,Hyderabad
C0056,Client_Partner_0056,Corporate,Bengaluru
C0057,Client_Partner_0057,Consumer,Delhi
C0058,Client_Partner_0058,Corporate,BLR
C0059,Client_Partner_0059,Consumer,Delhi
C0060,Client_Partner_0060,Consumer,Mumbai
C0061,Client_Partner_0061,Home Office,Mumbai
C0062,Client_Partner_0062,Corporate,Hyderabad
C0063,Client_Partner_0063,Consumer,Delhi
C0064,Client_Partner_0064,Corporate,Kolkata
C0065,Client_Partner_0065,Home Office,Kolkata
C0066,Client_Partner_0066,Corporate,Delhi
C0067,Client_Partner_0067,Corporate,Delhi
C0068,Client_Partner_0068,Corporate,Hyderabad
C0069,Client_Partner_0069,Corporate,Bengaluru
C0070,Client_Partner_0070,Home Office,Kolkata
C0071,Client_Partner_0071,Corporate,Kolkata
C0072,Client_Partner_0072,Home Office,BLR
C0073,Client_Partner_0073,Home Office,Mumbai
C0074,Client_Partner_0074,Corporate,Hyderabad
C0075,Client_Partner_0075,Corporate,Mumbai
C0076,Client_Partner_0076,Home Office,Hyderabad
C0077,Client_Partner_0077,Home Office,Delhi
C0078,Client_Partner_0078,Consumer,Kolkata
C0079,Client_Partner_0079,Corporate,Bengaluru
C0080,Client_Partner_0080,Corporate,Chennai
C0081,Client_Partner_0081,Consumer,Delhi
C0082,Client_Partner_0082,Consumer,Bengaluru
C0083,Client_Partner_0083,Consumer,Delhi
C0084,Client_Partner_0084,Consumer,Chennai
C0085,Client_Partner_0085,Consumer,Delhi
