order_id,customer_id,product_id,order_date,ship_date,quantity,discount_percent,courier_partner
ORD000001,C1687,P007,2025-11-13,2025-11-17,3,0.10,BlueDart
ORD000002,C0588,P005,2025-10-07,2025-10-08,4,0.10,FedEx
ORD000003,C0290,P002,2026-01-09,2026-01-13,1,0.10,FedEx
ORD000004,C3665,P003,2025-02-06,2025-02-09,1,0.25,DHL
ORD000005,C4121,P005,2026-04-04,2026-04-06,3,0.05,DHL
ORD000006,C2574,P003,2025-09-14,2025-09-16,2,0.25,BlueDart
ORD000007,C3280,P005,2026-02-13,2026-02-16,5,0.10,FedEx
ORD000008,C0044,P001,2025-05-07,2025-05-22,2,0.00,SwiftEx
ORD000009,C0785,P007,2025-02-24,2025-02-27,1,0.05,FedEx
ORD000010,C2315,P007,2025-01-01,2025-01-15,1,0.10,SwiftEx
ORD000011,C1381,P001,2025-05-12,2025-05-28,1,0.05,SwiftEx
ORD000012,C4405,P003,2025-09-03,2025-09-14,3,0.30,SwiftEx
ORD000013,C3689,P005,2025-04-27,2025-05-09,3,0.10,SwiftEx
ORD000014,C2001,P007,2025-06-15,2025-06-26,3,0.15,SwiftEx
ORD000015,C4636,P003,2026-02-25,2026-03-01,5,0.25,FedEx
ORD000016,C2434,P006,2025-06-02,2025-06-03,3,0.00,FedEx
ORD000017,C2682,P004,2025-05-06,2025-05-08,4,0.05,DHL
ORD000018,C0162,P006,2025-10-16,2025-10-31,1,0.00,SwiftEx
ORD000019,C1197,P001,2025-12-03,2025-12-05,4,0.05,BlueDart
ORD000020,C3717,P002,2026-02-08,2026-02-19,1,0.00,SwiftEx
ORD000021,C4368,P001,2026-02-08,2026-02-11,3,0.15,DHL
ORD000022,C4903,P005,2026-03-02,2026-03-06,1,0.10,DHL
ORD000023,C0962,P007,2025-11-05,2025-11-21,4,0.05,SwiftEx
ORD000024,C4153,P005,2025-07-01,2025-07-04,1,0.05,BlueDart
ORD000025,C2693,P006,2025-03-04,2025-03-05,2,0.10,DHL
ORD000026,C0571,P003,2025-05-27,2025-05-29,2,0.25,FedEx
ORD000027,C4353,P007,2026-04-22,2026-04-23,4,0.00,DHL
ORD000028,C3358,P001,2025-05-07,2025-05-10,4,0.00,FedEx
ORD000029,C4660,P007,2025-01-25,2025-01-27,2,0.15,BlueDart
ORD000030,C4262,P006,2026-03-04,2026-03-17,5,0.10,SwiftEx
ORD000031,C3843,P006,2025-12-11,2025-12-14,2,0.15,DHL
ORD000032,C3569,P003,2025-10-12,2025-10-13,4,0.15,FedEx
ORD000033,C1773,P007,2025-09-10,2025-09-24,5,0.05,SwiftEx
ORD000034,C1597,P007,2025-06-17,2025-06-21,3,0.05,DHL
ORD000035,C2501,P007,2025-12-21,2025-12-25,2,0.15,DHL
ORD000036,C0015,P007,2026-03-17,2026-03-31,3,0.05,SwiftEx
ORD000037,C4726,P005,2025-03-21,2025-04-03,1,0.10,SwiftEx
ORD000038,C1464,P005,2025-11-12,2025-11-16,2,0.00,FedEx
ORD000039,C1276,P006,2025-05-31,2025-06-02,1,0.05,FedEx
ORD000040,C1459,P005,2026-03-19,2026-04-02,4,0.15,SwiftEx
