return_id,order_id,return_reason
RET200001,ORD000010,Late Delivery
RET200002,ORD000036,Late Delivery
RET200003,ORD000044,Late Delivery
RET200004,ORD000062,Late Delivery
RET200005,ORD000083,Late Delivery
RET200006,ORD000090,Changed Mind
RET200007,ORD000092,Late Delivery
RET200008,ORD000098,Late Delivery
RET200009,ORD000099,Late Delivery
RET200010,ORD000101,Late Delivery
RET200011,ORD000111,Late Delivery
RET200012,ORD000112,Late Delivery
RET200013,ORD000119,Late Delivery
RET200014,ORD000120,Late Delivery
RET200015,ORD000123,Late Delivery
RET200016,ORD000124,Defective
RET200017,ORD000125,Late Delivery
RET200018,ORD000128,Late Delivery
RET200019,ORD000132,Late Delivery
RET200020,ORD000139,Late Delivery
RET200021,ORD000146,Late Delivery
RET200022,ORD000172,Late Delivery
RET200023,ORD000176,Late Delivery
RET200024,ORD000192,Late Delivery
RET200025,ORD000198,Late Delivery
RET200026,ORD000213,Late Delivery
RET200027,ORD000224,Changed Mind
RET200028,ORD000247,Late Delivery
RET200029,ORD000253,Wrong Item
RET200030,ORD000261,Late Delivery
RET200031,ORD000262,Changed Mind
RET200032,ORD000268,Late Delivery
RET200033,ORD000271,Late Delivery
RET200034,ORD000283,Late Delivery
RET200035,ORD000294,Late Delivery
RET200036,ORD000322,Late Delivery
RET200037,ORD000323,Defective
RET200038,ORD000328,Late Delivery
RET200039,ORD000329,Late Delivery
RET200040,ORD000337,Late Delivery
RET200041,ORD000339,Late Delivery
RET200042,ORD000340,Late Delivery
RET200043,ORD000341,Late Delivery
RET200044,ORD000347,Changed Mind
RET200045,ORD000349,Late Delivery
RET200046,ORD000361,Late Delivery
RET200047,ORD000362,Late Delivery
RET200048,ORD000367,Late Delivery
RET200049,ORD000371,Late Delivery
RET200050,ORD000373,Late Delivery
RET200051,ORD000379,Late Delivery
RET200052,ORD000380,Late Delivery
RET200053,ORD000383,Late Delivery
RET200054,ORD000390,Late Delivery
RET200055,ORD000396,Wrong Item
RET200056,ORD000416,Late Delivery
RET200057,ORD000424,Late Delivery
RET200058,ORD000425,Late Delivery
RET200059,ORD000432,Late Delivery
RET200060,ORD000439,Late Delivery
RET200061,ORD000441,Late Delivery
RET200062,ORD000453,Changed Mind
RET200063,ORD000454,Defective
RET200064,ORD000460,Late Delivery
RET200065,ORD000491,Late Delivery
RET200066,ORD000504,Late Delivery
RET200067,ORD000505,Late Delivery
RET200068,ORD000514,Late Delivery
RET200069,ORD000515,Late Delivery
RET200070,ORD000518,Late Delivery
RET200071,ORD000520,Late Delivery
RET200072,ORD000531,Late Delivery
RET200073,ORD000533,Late Delivery
RET200074,ORD000567,Wrong Item
RET200075,ORD000575,Late Delivery
RET200076,ORD000598,Late Delivery
RET200077,ORD000604,Defective
RET200078,ORD000608,Late Delivery
RET200079,ORD000610,Late Delivery
RET200080,ORD000615,Late Delivery
RET200081,ORD000616,Late Delivery
RET200082,ORD000632,Late Delivery
RET200083,ORD000651,Wrong Item
RET200084,ORD000654,Late Delivery
RET200085,ORD000657,Late Delivery
RET200086,ORD000660,Wrong Item
RET200087,ORD000664,Late Delivery
RET200088,ORD000665,Late Delivery
RET200089,ORD000666,Late Delivery
RET200090,ORD000679,Late Delivery
RET200091,ORD000697,Late Delivery
RET200092,ORD000699,Defective
RET200093,ORD000705,Defective
RET200094,ORD000707,Late Delivery
RET200095,ORD000715,Late Delivery
RET200096,ORD000716,Late Delivery
RET200097,ORD000723,Late Delivery
RET200098,ORD000762,Late Delivery
RET200099,ORD000764,Late Delivery
RET200100,ORD000777,Late Delivery
RET200101,ORD000786,Late Delivery
RET200102,ORD000802,Late Delivery
RET200103,ORD000808,Late Delivery
RET200104,ORD000810,Late Delivery
RET200105,ORD000819,Late Delivery
RET200106,ORD000848,Late Delivery
RET200107,ORD000852,Late Delivery
RET200108,ORD000866,Late Delivery
RET200109,ORD000875,Late Delivery
RET200110,ORD000882,Late Delivery
RET200111,ORD000884,Late Delivery
RET200112,ORD000896,Late Delivery
RET200113,ORD000902,Late Delivery
RET200114,ORD000905,Defective
RET200115,ORD000928,Late Delivery
RET200116,ORD000930,Late Delivery
RET200117,ORD000937,Late Delivery
RET200118,ORD000944,Changed Mind
RET200119,ORD000950,Late Delivery
RET200120,ORD000957,Late Delivery
RET200121,ORD000963,Late Delivery
RET200122,ORD000971,Changed Mind
RET200123,ORD000972,Late Delivery
RET200124,ORD000985,Late Delivery
RET200125,ORD000995,Changed Mind
RET200126,ORD000998,Late Delivery
RET200127,ORD001002,Late Delivery
RET200128,ORD001014,Changed Mind
RET200129,ORD001018,Late Delivery
RET200130,ORD001034,Late Delivery
RET200131,ORD001052,Late Delivery
RET200132,ORD001053,Late Delivery
RET200133,ORD001054,Defective
RET200134,ORD001067,Late Delivery
RET200135,ORD001071,Late Delivery
RET200136,ORD001087,Late Delivery
RET200137,ORD001091,Late Delivery
RET200138,ORD001093,Late Delivery
RET200139,ORD001099,Wrong Item
RET200140,ORD001108,Wrong Item
RET200141,ORD001117,Late Delivery
RET200142,ORD001120,Changed Mind
RET200143,ORD001121,Late Delivery
RET200144,ORD001125,Late Delivery
RET200145,ORD001131,Late Delivery
RET200146,ORD001140,Late Delivery
RET200147,ORD001168,Wrong Item
RET200148,ORD001175,Late Delivery
RET200149,ORD001191,Late Delivery
RET200150,ORD001192,Late Delivery
RET200151,ORD001193,Late Delivery
RET200152,ORD001194,Late Delivery
RET200153,ORD001196,Late Delivery
RET200154,ORD001201,Late Delivery
RET200155,ORD001215,Late Delivery
RET200156,ORD001250,Late Delivery
RET200157,ORD001258,Late Delivery
RET200158,ORD001261,Late Delivery
RET200159,ORD001272,Late Delivery
RET200160,ORD001276,Late Delivery
RET200161,ORD001277,Late Delivery
RET200162,ORD001278,Late Delivery
RET200163,ORD001284,Late Delivery
RET200164,ORD001288,Late Delivery
RET200165,ORD001295,Late Delivery
RET200166,ORD001305,Late Delivery
RET200167,ORD001306,Late Delivery
RET200168,ORD001318,Late Delivery
RET200169,ORD001319,Late Delivery
RET200170,ORD001330,Late Delivery
RET200171,ORD001338,Wrong Item
RET200172,ORD001340,Late Delivery
RET200173,ORD001346,Late Delivery
RET200174,ORD001349,Late Delivery
RET200175,ORD001355,Late Delivery
RET200176,ORD001366,Late Delivery
RET200177,ORD001386,Late Delivery
RET200178,ORD001388,Changed Mind
RET200179,ORD001396,Late Delivery
RET200180,ORD001406,Wrong Item
RET200181,ORD001423,Defective
RET200182,ORD001425,Late Delivery
RET200183,ORD001431,Defective
RET200184,ORD001441,Late Delivery
RET200185,ORD001442,Late Delivery
RET200186,ORD001444,Late Delivery
RET200187,ORD001450,Late Delivery
RET200188,ORD001452,Late Delivery
RET200189,ORD001459,Late Delivery
RET200190,ORD001463,Late Delivery
RET200191,ORD001471,Late Delivery
RET200192,ORD001478,Late Delivery
RET200193,ORD001479,Late Delivery
RET200194,ORD001488,Changed Mind
RET200195,ORD001503,Late Delivery
RET200196,ORD001506,Late Delivery
RET200197,ORD001509,Late Delivery
RET200198,ORD001519,Late Delivery
RET200199,ORD001555,Late Delivery
RET200200,ORD001571,Late Delivery
RET200201,ORD001582,Late Delivery
RET200202,ORD001586,Late Delivery
RET200203,ORD001592,Late Delivery
RET200204,ORD001595,Late Delivery
RET200205,ORD001600,Late Delivery
RET200206,ORD001602,Changed Mind
RET200207,ORD001619,Late Delivery
RET200208,ORD001629,Changed Mind
RET200209,ORD001634,Late Delivery
RET200210,ORD001646,Late Delivery
RET200211,ORD001655,Late Delivery
RET200212,ORD001668,Late Delivery
RET200213,ORD001670,Late Delivery
RET200214,ORD001692,Late Delivery
RET200215,ORD001695,Late Delivery
RET200216,ORD001718,Late Delivery
RET200217,ORD001728,Late Delivery
RET200218,ORD001739,Late Delivery
RET200219,ORD001741,Changed Mind
RET200220,ORD001754,Late Delivery
RET200221,ORD001758,Late Delivery
RET200222,ORD001768,Late Delivery
RET200223,ORD001771,Late Delivery
RET200224,ORD001780,Late Delivery
RET200225,ORD001782,Changed Mind
RET200226,ORD001786,Late Delivery
RET200227,ORD001829,Late Delivery
RET200228,ORD001833,Late Delivery
RET200229,ORD001841,Late Delivery
RET200230,ORD001846,Late Delivery
RET200231,ORD001850,Late Delivery
RET200232,ORD001871,Late Delivery
RET200233,ORD001879,Late Delivery
RET200234,ORD001885,Late Delivery
RET200235,ORD001889,Late Delivery
RET200236,ORD001890,Defective
RET200237,ORD001895,Late Delivery
RET200238,ORD001902,Late Delivery
RET200239,ORD001907,Late Delivery
RET200240,ORD001908,Late Delivery
RET200241,ORD001913,Late Delivery
RET200242,ORD001926,Late Delivery
RET200243,ORD001927,Late Delivery
RET200244,ORD001932,Late Delivery
RET200245,ORD001935,Late Delivery
RET200246,ORD001936,Late Delivery
RET200247,ORD001938,Late Delivery
RET200248,ORD001939,Defective
RET200249,ORD001944,Late Delivery
RET200250,ORD001945,Late Delivery
RET200251,ORD001948,Late Delivery
RET200252,ORD001952,Late Delivery
